voltage;INa, Ito, ICaL, IKr;IKs, IK1, INaCa, INaK;INab, ICab, IKb, IpCa;INalate,NA,NA,NA
;-87.83511352539062;-0.002617405029013753,-0.0000029727345918217907,-1.835577876363459e-7,-0.0006293001351878047;-1.9249184468606018e-9,-0.028995662927627563,-0.02600887045264244,0.09511249512434006;-0.01726868748664856,-0.019500596448779106,-0.000001860429279076925,0.00007409213139908388;-0.00011681663454510272,0,0,0
;-87.83512878417969;-0.0026173978112637997,-0.0000029730344976997003,-1.83557432364978e-7,-0.0006292923353612423;-1.92490845485338e-9,-0.028998371213674545,-0.026006808504462242,0.09511250257492065;-0.01726868934929371,-0.019500602036714554,-0.0000018606002640808583,0.0000740898321964778;-0.000116818213427905,0,0,0
;-87.83514404296875;-0.0026173912920057774,-0.000002973333948830259,-1.8355706288275542e-7,-0.0006292846519500017;-1.9248984628461585e-9,-0.029001086950302124,-0.026004672050476074,0.09511241316795349;-0.017268691211938858,-0.019500605762004852,-0.0000018607699985295767,0.00007408754026982933;-0.00011681969044730067,0,0,0
;-87.83515930175781;-0.0026173866353929043,-0.000002973634082081844,-1.8355670761138754e-7,-0.0006292769685387611;-1.924888248794332e-9,-0.029003798961639404,-0.02600257657468319,0.0951123908162117;-0.017268694937229156,-0.01950060762465,-0.0000018609410972203477,0.00007408525561913848;-0.00011682126933010295,0,0,0
;-87.83517456054688;-0.002617380116134882,-0.0000029739333058387274,-1.8355635234001966e-7,-0.0006292691105045378;-1.9248782567871103e-9,-0.029006514698266983,-0.026000509038567543,0.09511230140924454;-0.017268696799874306,-0.01950061321258545,-0.000001861112082224281,0.00007408296369249001;-0.00011682282638503239,0,0,0
;-87.83518981933594;-0.0026173728983849287,-0.0000029742334390903125,-1.835560112795065e-7,-0.0006292613688856363;-1.9248680427352838e-9,-0.029009222984313965,-0.025998400524258614,0.09511228650808334;-0.017268698662519455,-0.0195006150752306,-0.000001861283180915052,0.00007408067176584154;-0.00011682433250825852,0,0,0
;-87.835205078125;-0.0026173691730946302,-0.0000029745324354735203,-1.8355562758642918e-7,-0.0006292536854743958;-1.924858050728062e-9,-0.029011938720941544,-0.025996282696723938,0.09511219710111618;-0.017268700525164604,-0.019500616937875748,-0.0000018614529153637704,0.00007407837256323546;-0.00011682590411510319,0,0,0
;-87.8352279663086;-0.002617357997223735,-0.000002974969902425073,-1.8355525810420659e-7,-0.0006292748148553073;-1.92484939098847e-9,-0.029016006737947464,-0.02599419839680195,0.09511222690343857;-0.017268704250454903,-0.019500624388456345,-0.000001861708710748644,0.00007407610246445984;-0.00011682725744321942,0,0,0
;-87.83524322509766;-0.002617350546643138,-0.000002975268898808281,-1.835548033568557e-7,-0.0006292671314440668;-1.9248391769366435e-9,-0.029018720611929893,-0.02599211223423481,0.0951121598482132;-0.017268706113100052,-0.019500626251101494,-0.000001861878672571038,0.00007407381781376898;-0.00011682881449814886,0,0,0
;-87.83524322509766;-0.0026173547375947237,-0.0000029752932277915534,-1.8355440545292367e-7,-0.0006292012403719127;-1.924826298349558e-9,-0.029018720611929893,-0.025989990681409836,0.09511213004589081;-0.017268706113100052,-0.019500626251101494,-0.000001861878672571038,0.00007407153316307813;-0.0001168306844192557,0,0,0
