voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.64918518066406;-4.402042463880207e-7,-2.5922794577581953e-8,0.00007555136107839644,-0.019459694623947144;2.866417936342458e-10,-0.0000037967972730257316,0.00005881530523765832,0.003726562485098839;1.8799659073920338e-7,0.07644470036029816,-0.017235005274415016,-0.002683470491319895;-0.04064018651843071,0.0000012060864946761285,-0.00011113571235910058,0.0002844102564267814
;-87.64920806884766;-4.402046442919527e-7,-2.5922814117507187e-8,0.0000755483124521561,-0.019459696486592293;2.866418213898214e-10,-0.0000037966310628689826,0.00005875595161342062,0.0037231165915727615;1.8782247934723273e-7,0.07644470781087875,-0.017235007137060165,-0.002683467697352171;-0.04063604027032852,0.0000012049786164425313,-0.0001111389065044932,0.000285046553472057
;-87.64922332763672;-4.402050137741753e-7,-2.59228372101461e-8,0.00007554527837783098,-0.01945970207452774;2.866419324121239e-10,-0.000003796467581196339,0.00005866941137355752,0.0037179484497755766;1.8756121278329374e-7,0.07644470036029816,-0.017235012724995613,-0.002683458151295781;-0.04063182696700096,0.0000012033124221488833,-0.00011114188964711502,0.0002839973312802613
;-87.64924621582031;-4.402054685215262e-7,-2.592286385549869e-8,0.00007554222975159064,-0.01945970579981804;2.866420156788507e-10,-0.0000037963006889185635,0.00005861009412910789,0.0037145025562494993;1.8738698770448536e-7,0.07644470036029816,-0.01723501831293106,-0.0026834560558199883;-0.040627628564834595,0.000001202204657602124,-0.00011114505468867719,0.00028467673109844327
;-87.64926147460938;-4.402058664254582e-7,-2.5922883395423924e-8,0.00007553920295322314,-0.019459711387753487;2.866419324121239e-10,-0.00000379613720724592,0.00005852357207913883,0.0037093348801136017;1.8712586324909353e-7,0.07644470036029816,-0.01723502017557621,-0.0026834479067474604;-0.04062337800860405,0.0000012005386906821514,-0.00011114805238321424,0.0002836685162037611
;-87.64927673339844;-4.4020617906426196e-7,-2.5922904711705996e-8,0.0000755361543269828,-0.019459713250398636;2.866420156788507e-10,-0.0000037959707697154954,0.000058464262110646814,0.0037058896850794554;1.8695173764626816e-7,0.07644468545913696,-0.01723502203822136,-0.0026834427844733;-0.040619198232889175,0.0000011994308124485542,-0.00011115123197669163,0.00028432870749384165
;-87.64929962158203;-4.4020663381161285e-7,-2.5922929580701748e-8,0.00007553311297670007,-0.019459716975688934;2.866421267011532e-10,-0.000003795804786932422,0.00005840498852194287,0.003702443791553378;1.8677761204344279e-7,0.07644467800855637,-0.017235025763511658,-0.002683439292013645;-0.04061498865485191,0.0000011983227068412816,-0.00011115435336250812,0.00028501369524747133
;-87.6493148803711;-4.4020708855896373e-7,-2.592295089698382e-8,0.00007553007162641734,-0.01945972442626953;2.866421822123044e-10,-0.0000037956408505124273,0.00005831850285176188,0.003697275184094906;1.865162460035208e-7,0.07644467800855637,-0.017235027626156807,-0.0026834304444491863;-0.04061077535152435,0.0000011966565125476336,-0.00011115740198874846,0.0002839629305526614
;-87.64933013916016;-4.4020748646289576e-7,-2.5922972213265894e-8,0.00007552703027613461,-0.01945972628891468;2.866421822123044e-10,-0.000003795474412982003,0.000058259225625079125,0.003693829756230116;1.863421061898407e-7,0.07644464075565338,-0.017235029488801956,-0.0026834283489733934;-0.04060659930109978,0.0000011955485206271987,-0.00011116051609860733,0.0002845917479135096
;-87.64935302734375;-4.4020777067999006e-7,-2.5922995305904806e-8,0.00007552398892585188,-0.01945972815155983;2.866422932346069e-10,-0.000003795308202825254,0.000058199970226269215,0.0036903845611959696;1.8616798058701534e-7,0.07644464075565338,-0.017235033214092255,-0.002683423925191164;-0.04060239717364311,0.0000011944405287067639,-0.00011116369569208473,0.00028528732946142554
;-87.64936828613281;-4.4020833911417867e-7,-2.5923030833041594e-8,0.00007552095485152677,-0.019459733739495277;2.8664237650133373e-10,-0.00000379514472115261,0.00005811352821183391,0.0036852157209068537;1.859067566556405e-7,0.07644463330507278,-0.017235036939382553,-0.002683415077626705;-0.04059816896915436,0.0000011927742207262781,-0.00011116667883470654,0.0002842421527020633
;-87.6493911743164;-4.4020868017469184e-7,-2.5923048596609988e-8,0.00007551792077720165,-0.019459737464785576;2.8664237650133373e-10,-0.0000037949780562485103,0.00005805428736493923,0.0036817705258727074;1.8573263105281512e-7,0.0764446035027504,-0.017235038802027702,-0.0026834115851670504;-0.040593985468149185,0.0000011916664561795187,-0.00011116986570414156,0.0002848933218047023
;-87.64940643310547;-4.4020916334375215e-7,-2.592307346560574e-8,0.00007551488670287654,-0.019459743052721024;2.866425152792118e-10,-0.000003794814801949542,0.000057967867178376764,0.003676601918414235;1.8547126501289313e-7,0.07644463330507278,-0.01723504438996315,-0.002683402504771948;-0.0405898317694664,0.0000011899999208253575,-0.00011117285612272099,0.00028380530420690775
;-87.64942169189453;-4.402095044042653e-7,-2.5923094781887812e-8,0.00007551185262855142,-0.019459744915366173;2.866425430347874e-10,-0.0000037946483644191176,0.000057908662711270154,0.0036731562577188015;1.8529713941006776e-7,0.0764445960521698,-0.01723504811525345,-0.002683400409296155;-0.04058567062020302,0.0000011888919289049227,-0.00011117600661236793,0.00028442268376238644
