voltage;INa, Ito, ICaL, IKr;IKs, IK1, INaCa, INaK;INab, ICab, IKb, IpCa;INalate,NA,NA,NA
;-87.83053588867188;-0.002619948936626315,-0.0000028858607947768178,-1.8370228360709007e-7,-0.0006287043797783554;-1.9265185002836915e-9,-0.028182128444314003,-0.02616017311811447,0.09457650780677795;-0.01726795732975006,-0.01949959062039852,-0.0000018092025584337534,0.00007424980140058324;-0.0001163808410638012,0,0,0
;-87.83055114746094;-0.002619942184537649,-0.000002886160928028403,-1.8370226939623535e-7,-0.000628698559012264;-1.926508286231865e-9,-0.028184840455651283,-0.0261580441147089,0.09457646310329437;-0.01726795919239521,-0.01949959434568882,-0.0000018093738844982,0.00007424748764606193;-0.00011638255818979815,0,0,0
;-87.83056640625;-0.002619936363771558,-0.0000028864608339063125,-1.837022267636712e-7,-0.0006286923890002072;-1.9264980721800384e-9,-0.028187550604343414,-0.02615591324865818,0.09457645565271378;-0.01726796105504036,-0.01949959620833397,-0.000001809544983188971,0.000074245166615583;-0.00011638440628303215,0,0,0
;-87.83058166503906;-0.0026199317071586847,-0.000002886760739784222,-1.837021272876882e-7,-0.0006286863936111331;-1.926487636083607e-9,-0.028190258890390396,-0.02615378051996231,0.09457632154226303;-0.017267964780330658,-0.019499601796269417,-0.0000018097159681929043,0.00007424284558510408;-0.00011638621799647808,0,0,0
;-87.83059692382812;-0.002619925420731306,-0.0000028870604182884563,-1.8370197096828633e-7,-0.0006286802818067372;-1.9264776440763853e-9,-0.028192972764372826,-0.02615165524184704,0.09457629173994064;-0.017267970368266106,-0.019499605521559715,-0.0000018098860437021358,0.000074240546382498;-0.00011638796422630548,0,0,0
;-87.83061218261719;-0.002619918202981353,-0.000002887360324166366,-1.8370177201632032e-7,-0.0006286742282100022;-1.9264674300245588e-9,-0.028195681050419807,-0.026149524375796318,0.09457626193761826;-0.017267972230911255,-0.019499607384204865,-0.000001810057028706069,0.00007423823262797669;-0.00011638978321570903,0,0,0
;-87.83062744140625;-0.002619914710521698,-0.000002887659547923249,-1.8370160148606374e-7,-0.0006286680581979454;-1.9264572159727322e-9,-0.028198393061757088,-0.02614738792181015,0.09457618743181229;-0.017267972230911255,-0.019499611109495163,-0.0000018102281273968401,0.00007423591159749776;-0.00011639150761766359,0,0,0
;-87.83065032958984;-0.00261990400031209,-0.0000028880963327537756,-1.8370140253409772e-7,-0.0006286920397542417;-1.926448778277745e-9,-0.02820245921611786,-0.026145270094275475,0.0945761576294899;-0.017267977818846703,-0.01949961669743061,-0.0000018104828996001743,0.00007423360511893407;-0.00011639315926004201,0,0,0
;-87.83067321777344;-0.0026198935229331255,-0.0000028885333449579775,-1.837011041061487e-7,-0.0006287157302722335;-1.926439896493548e-9,-0.02820652537047863,-0.026143135502934456,0.09457608312368393;-0.017267981544137,-0.01949962228536606,-0.0000018107400592271006,0.00007423129864037037;-0.00011639475997071713,0,0,0
;-87.8306884765625;-0.0026198863051831722,-0.000002888832568714861,-1.8370074883478082e-7,-0.0006287095020525157;-1.9264296824417215e-9,-0.02820924110710621,-0.02614101581275463,0.09457605332136154;-0.0172679852694273,-0.019499624148011208,-0.000001810911385291547,0.00007422897760989144;-0.00011639655713224784,0,0,0
;-87.83070373535156;-0.0026198800187557936,-0.000002889131792471744,-1.837004504068318e-7,-0.0006287033320404589;-1.926419468389895e-9,-0.02821195311844349,-0.026138875633478165,0.09457603096961975;-0.017267988994717598,-0.019499627873301506,-0.0000018110825976691558,0.00007422667113132775;-0.00011639828881016001,0,0,0
;-87.83071899414062;-0.0026198753621429205,-0.000002889430788854952,-1.8370012355717336e-7,-0.0006286972784437239;-1.9264096984272783e-9,-0.02821466326713562,-0.026136768981814384,0.09457601606845856;-0.017267988994717598,-0.019499631598591805,-0.0000018112523321178742,0.00007422435737680644;-0.00011640010052360594,0,0,0
;-87.83073425292969;-0.002619869075715542,-0.00000288972978523816,-1.8369982512922434e-7,-0.0006286911084316671;-1.926399262330847e-9,-0.028217371553182602,-0.026134639978408813,0.0945759192109108;-0.017267990857362747,-0.019499635323882103,-0.000001811423544495483,0.00007422205089824274;-0.00011640190496109426,0,0,0
;-87.83074951171875;-0.002619862323626876,-0.000002890029463742394,-1.8369948406871117e-7,-0.000628685113042593;-1.9263890482790202e-9,-0.028220083564519882,-0.02613251470029354,0.0945759192109108;-0.017267994582653046,-0.0194996390491724,-0.0000018115945294994162,0.00007421974441967905;-0.00011640365119092166,0,0,0
;-87.83076477050781;-0.0026198583655059338,-0.000002890328005378251,-1.8369911458648858e-7,-0.0006286788266152143;-1.9263788342271937e-9,-0.028222793713212013,-0.02613038942217827,0.09457582980394363;-0.017267996445298195,-0.01949964091181755,-0.0000018117656281901873,0.00007421743066515774;-0.00011640544107649475,0,0,0
;-87.83078002929688;-0.002619852777570486,-0.0000028906272291351343,-1.8369880194768484e-7,-0.0006286728894338012;-1.926369064264577e-9,-0.028225500136613846,-0.026128273457288742,0.09457581490278244;-0.017268002033233643,-0.01949964463710785,-0.000001811935590012581,0.00007421512418659404;-0.00011640726734185591,0,0,0
