voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.62171173095703;-4.7046614781720564e-7,-2.604397764116584e-8,0.00007789325900375843,-0.01945365220308304;2.882331873177435e-10,-0.000003885727437591413,0.0001445688831154257,0.009082319214940071;4.59670644659127e-7,0.07434480637311935,-0.01723058708012104,-0.002700780052691698;-0.043977659195661545,0.000002935299789896817,-0.00011091415217379108,0.0002859246451407671
;-87.6217269897461;-4.7046680151652254e-7,-2.6044020273729984e-8,0.00007789055962348357,-0.019453654065728188;2.8823349262907527e-10,-0.000003885563728545094,0.00014447460125666112,0.009077168069779873;4.594086249198881e-7,0.07434478402137756,-0.017230592668056488,-0.002700771437957883;-0.043973762542009354,0.00000293365201287088,-0.00011091733176726848,0.0002845457929652184
;-87.62174224853516;-4.7046745521583944e-7,-2.6044052248153093e-8,0.0000778878602432087,-0.019453659653663635;2.8823365916252897e-10,-0.000003885396381519968,0.00014440779341384768,0.009073734283447266;4.5923377456347225e-7,0.07434480637311935,-0.017230594530701637,-0.002700768643990159;-0.04396989569067955,0.0000029325601644814014,-0.00011092055501649156,0.0002849275479093194
;-87.62175750732422;-4.7046813733686577e-7,-2.604408777528988e-8,0.00007788516813889146,-0.019453663378953934;2.882338534515583e-10,-0.000003885229943989543,0.0001443409564672038,0.009070300497114658;4.590592084241507e-7,0.07434479147195816,-0.017230596393346786,-0.0027007644530385733;-0.043965909630060196,0.000002931468770839274,-0.00011092382919741794,0.00028539280174300075
;-87.62177276611328;-4.7046879103618267e-7,-2.604412330242667e-8,0.0000778824687586166,-0.019453667104244232;2.8823415876289005e-10,-0.000003885062596964417,0.00014427414862439036,0.009066865779459476;4.588846707065386e-7,0.07434479892253876,-0.017230600118637085,-0.0027007609605789185;-0.043962009251117706,0.0000029303769224497955,-0.00011092710337834433,0.00028579129138961434
;-87.62179565429688;-4.704693878920807e-7,-2.604415527684978e-8,0.00007787976937834173,-0.01945367082953453;2.8823432529634374e-10,-0.000003884896159433993,0.00014420735533349216,0.009063431061804295;4.5871007614550763e-7,0.07434479892253876,-0.017230601981282234,-0.0027007588651031256;-0.043958138674497604,0.000002929285528807668,-0.00011093033390352502,0.0002861485118046403
;-87.62181091308594;-4.7047007001310703e-7,-2.6044196133057085e-8,0.00007787707727402449,-0.01945367455482483;2.882344640742218e-10,-0.000003884731540892972,0.00014411311713047326,0.009058279916644096;4.584481132496876e-7,0.07434478402137756,-0.017230607569217682,-0.002700749784708023;-0.04395422711968422,0.0000029276375244080555,-0.00011093347711721435,0.0002847957075573504
;-87.621826171875;-4.7047075213413336e-7,-2.6044229883837033e-8,0.00007787438516970724,-0.019453678280115128;2.882347971411292e-10,-0.000003884565558109898,0.0001440463529434055,0.009054845198988914;4.582735186886566e-7,0.07434473931789398,-0.017230607569217682,-0.00270074512809515;-0.04395032301545143,0.000002926546130765928,-0.00011093669309047982,0.00028515697340480983
;-87.62184143066406;-4.7047137741174083e-7,-2.604426541097382e-8,0.0000778717003413476,-0.019453682005405426;2.882349636745829e-10,-0.000003884398211084772,0.0001439795596525073,0.009051411412656307;4.580989525493351e-7,0.07434473931789398,-0.01723061315715313,-0.0027007409371435642;-0.04394645243883133,0.0000029254542823764496,-0.00011093995271949098,0.0002855216444004327
;-87.62185668945312;-4.70472116376186e-7,-2.6044308043537967e-8,0.00007786901551298797,-0.019453685730695724;2.8823521347476344e-10,-0.0000038842317735543475,0.00014391282456927001,0.0090479776263237;4.5792447167514183e-7,0.07434473931789398,-0.017230616882443428,-0.002700739772990346;-0.04394255205988884,0.0000029243626613606466,-0.00011094324145233259,0.0002859089872799814
