voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.60200500488281;-4.755424640734418e-7,-2.632623541387602e-8,0.00007893005385994911,-0.019449317827820778;2.91539736796409e-10,-0.000003578345285859541,0.00020116502128075808,0.012967175804078579;6.5781750890892e-7,0.07198117673397064,-0.01722756028175354,-0.0027173729613423347;-0.04554999619722366,0.0000042214555833197664,-0.00011299773177597672,0.0002849989105015993
;-87.60202026367188;-4.755430325076304e-7,-2.632626561194229e-8,0.00007892767462180927,-0.019449319690465927;2.915399033298627e-10,-0.0000035781936276180204,0.00020109493925701827,0.012963750399649143;6.576426017090853e-7,0.07198117673397064,-0.01722756214439869,-0.0027173699345439672;-0.04554646462202072,0.0000042203660086670425,-0.00011300046026008204,0.00028503237990662456
;-87.60203552246094;-4.7554362936352845e-7,-2.632629936272224e-8,0.00007892530265962705,-0.019449323415756226;2.9154004210774076e-10,-0.0000035780424241238507,0.000201024828129448,0.012960322201251984;6.574678081960883e-7,0.07198115438222885,-0.017227565869688988,-0.002717364812269807;-0.045542966574430466,0.000004219275524519617,-0.00011300324695184827,0.0002850043529178947
;-87.60205078125;-4.7554419779771706e-7,-2.6326333113502187e-8,0.00007892292342148721,-0.019449327141046524;2.9154023639677007e-10,-0.0000035778916753770318,0.0002009547024499625,0.012956896796822548;6.572923894054838e-7,0.07198113948106766,-0.017227571457624435,-0.0027173596899956465;-0.04553946480154991,0.000004218185949866893,-0.0001130059827119112,0.00028498563915491104
;-87.60206604003906;-4.7554482307532453e-7,-2.6326361535211618e-8,0.0000789205587352626,-0.019449329003691673;2.915404306857994e-10,-0.000003577740017135511,0.00020088462042622268,0.012953470461070538;6.571175958924869e-7,0.07198116183280945,-0.017227571457624435,-0.0027173568960279226;-0.045535922050476074,0.000004217095465719467,-0.00011300876940367743,0.0002850544697139412
;-87.60208129882812;-4.755453346660943e-7,-2.6326393509634727e-8,0.00007891817949712276,-0.019449332728981972;2.9154059721925307e-10,-0.000003577589041015017,0.00020081452385056764,0.012950045987963676;6.569426886926522e-7,0.07198114693164825,-0.017227573320269585,-0.002717352006584406;-0.04553241655230522,0.000004216005436319392,-0.00011301157792331651,0.0002850469318218529
;-87.60209655761719;-4.755459883654112e-7,-2.6326427260414675e-8,0.00007891580025898293,-0.01944933831691742;2.9154076375270677e-10,-0.000003577437382773496,0.0002007444854825735,0.012946618720889091;6.567673835888854e-7,0.07198114693164825,-0.017227578908205032,-0.002717346418648958;-0.04552890732884407,0.000004214916316414019,-0.0001130142918555066,0.0002850527234841138
;-87.60211181640625;-4.7554652837789035e-7,-2.6326455682124106e-8,0.0000789134282968007,-0.01944934017956257;2.9154090253058484e-10,-0.000003577285951905651,0.00020067437435500324,0.012943191453814507;6.565925332324696e-7,0.07198112457990646,-0.017227578908205032,-0.0027173433918505907;-0.04552542790770531,0.000004213826287013944,-0.00011301710037514567,0.00028500607004389167
;-87.60212707519531;-4.755471252337884e-7,-2.6326487656547215e-8,0.00007891107088653371,-0.019449342042207718;2.91541180086341e-10,-0.0000035771349757851567,0.00020060436509083956,0.012939766980707645;6.56417569189216e-7,0.07198112457990646,-0.017227578908205032,-0.0027173375710844994;-0.04552192613482475,0.0000042127358028665185,-0.00011301990161882713,0.00028501314227469265
;-87.60214233398438;-4.75547693667977e-7,-2.6326519630970324e-8,0.0000789087062003091,-0.019449347630143166;2.915413743753703e-10,-0.000003576983772290987,0.0002005343121709302,0.01293633971363306;6.56242775676219e-7,0.07198110222816467,-0.01722758449614048,-0.002717332448810339;-0.045518435537815094,0.000004211645318719093,-0.00011302260827505961,0.00028497425955720246
;-87.60215759277344;-4.755482621021656e-7,-2.6326548052679755e-8,0.00007890634151408449,-0.019449349492788315;2.9154148539767277e-10,-0.0000035768323414231418,0.00020046427380293608,0.012932914309203625;6.560674137290334e-7,0.07198110222816467,-0.01722758635878563,-0.0027173268608748913;-0.04551491513848305,0.000004210555289319018,-0.00011302538769086823,0.0002849965530913323
;-87.6021728515625;-4.755488873797731e-7,-2.6326585356173382e-8,0.00007890397682785988,-0.019449355080723763;2.9154176295342893e-10,-0.000003576681137928972,0.0002003942063311115,0.01292948704212904;6.558925633726176e-7,0.07198110967874527,-0.017227590084075928,-0.0027173238340765238;-0.04551137238740921,0.000004209464805171592,-0.0001130280943471007,0.00028504146030172706
;-87.60218811035156;-4.7554942739225226e-7,-2.6326613777882812e-8,0.00007890161214163527,-0.01944935880601406;2.915418739757314e-10,-0.0000035765301618084777,0.00020032419706694782,0.012926062569022179;6.557176561727829e-7,0.07198109477758408,-0.017227591946721077,-0.0027173184789717197;-0.045507900416851044,0.000004208374775771517,-0.00011303086648695171,0.00028500042390078306
;-87.60220336914062;-4.7554999582644086e-7,-2.6326642199592243e-8,0.00007889925473136827,-0.01944935880601406;2.915420682647607e-10,-0.0000035763787309406325,0.00020025417325086892,0.012922637164592743;6.555427489729482e-7,0.07198112457990646,-0.017227591946721077,-0.002717313589528203;-0.04550439864397049,0.0000042072842916240916,-0.00011303366045467556,0.00028503729845397174
;-87.60221862792969;-4.7555056426062947e-7,-2.632667772672903e-8,0.00007889689732110128,-0.01944936439394951;2.9154217928706316e-10,-0.0000035762277548201382,0.00020018420764245093,0.012919208966195583;6.553675007126003e-7,0.07198106497526169,-0.017227597534656525,-0.0027173098642379045;-0.04550093412399292,0.000004206194262224017,-0.00011303636711090803,0.0002849350858014077
;-87.60223388671875;-4.755511611165275e-7,-2.632670970115214e-8,0.00007889452535891905,-0.019449368119239807;2.915424568428193e-10,-0.000003576076778699644,0.00020011421293020248,0.012915783561766148;6.551925366693467e-7,0.07198106497526169,-0.017227601259946823,-0.0027173045091331005;-0.04549737274646759,0.000004205104232823942,-0.00011303916107863188,0.0002849964366760105
;-87.60224914550781;-4.755517295507161e-7,-2.632673989921841e-8,0.00007889216794865206,-0.019449369981884956;2.91542623376273e-10,-0.0000035759253478317987,0.00020004429097753018,0.012912356294691563;6.550177431563498e-7,0.07198106497526169,-0.017227601259946823,-0.00271729938685894;-0.04549386352300644,0.000004204013293929165,-0.00011304187501082197,0.0002850094169843942
;-87.60226440429688;-4.755523548283236e-7,-2.6326775426355198e-8,0.00007888980326242745,-0.019449375569820404;2.915428176653023e-10,-0.000003575774144337629,0.00019997433992102742,0.012908932752907276;6.54842835956515e-7,0.07198107987642288,-0.01722760684788227,-0.0027172965928912163;-0.045490413904190063,0.00000420292326452909,-0.00011304465442663059,0.00028496680897660553
